,symbol,metric,value
348,AOS,Earnings Date,"Jul 25, 2024 - Aug 1, 2024"
349,AOS,Forward Dividend & Yield,1.28 (1.49%)
350,AOS,Ex-Dividend Date,"Apr 29, 2024"
351,AOS,1y Target Est,88.23 
352,ABT,Previous Close,103.21 
353,ABT,Open,103.52 
354,ABT,Bid,103.11 x 800
355,ABT,Ask,103.13 x 1100
356,ABT,Day's Range,103.00 - 103.86 
357,ABT,52 Week Range,89.67 - 121.64 
358,ABT,Volume,"718,604 "
359,ABT,Avg. Volume,"5,725,158 "
360,ABT,Market Cap (intraday),179.286B 
361,ABT,Beta (5Y Monthly),0.75
362,ABT,PE Ratio (TTM),32.11 
363,ABT,EPS (TTM),3.21 
364,ABT,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
365,ABT,Forward Dividend & Yield,2.20 (2.13%)
366,ABT,Ex-Dividend Date,"Apr 12, 2024"
367,ABT,1y Target Est,126.23 
368,ABBV,Previous Close,162.93 
369,ABBV,Open,161.57 
370,ABBV,Bid,161.51 x 800
371,ABBV,Ask,161.58 x 1200
372,ABBV,Day's Range,159.57 - 161.94 
373,ABBV,52 Week Range,130.96 - 182.89 
374,ABBV,Volume,"1,468,163 "
375,ABBV,Avg. Volume,"5,586,153 "
376,ABBV,Market Cap (intraday),283.581B 
377,ABBV,Beta (5Y Monthly),0.59
378,ABBV,PE Ratio (TTM),47.79 
379,ABBV,EPS (TTM),3.36 
380,ABBV,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
381,ABBV,Forward Dividend & Yield,6.20 (3.81%)
382,ABBV,Ex-Dividend Date,"Apr 12, 2024"
383,ABBV,1y Target Est,183.11 
384,ACN,Previous Close,305.70 
385,ACN,Open,306.79 
386,ACN,Bid,--
387,ACN,Ask,308.00 x 900
388,ACN,Day's Range,302.96 - 307.15 
389,ACN,52 Week Range,284.90 - 387.51 
390,ACN,Volume,"1,837,598 "
391,ACN,Avg. Volume,"2,798,820 "
392,ACN,Market Cap (intraday),190.907B 
393,ACN,Beta (5Y Monthly),1.21
394,ACN,PE Ratio (TTM),27.55 
395,ACN,EPS (TTM),11.02 
396,ACN,Earnings Date,"Jun 20, 2024"
397,ACN,Forward Dividend & Yield,5.16 (1.70%)
398,ACN,Ex-Dividend Date,"Apr 10, 2024"
399,ACN,1y Target Est,383.36 
400,ADBE,Previous Close,483.93 
401,ADBE,Open,488.38 
402,ADBE,Bid,486.99 x 100
403,ADBE,Ask,487.69 x 100
404,ADBE,Day's Range,485.00 - 491.68 
405,ADBE,52 Week Range,374.09 - 638.25 
406,ADBE,Volume,"866,065 "
407,ADBE,Avg. Volume,"3,498,924 "
408,ADBE,Market Cap (intraday),218.292B 
409,ADBE,Beta (5Y Monthly),1.28
410,ADBE,PE Ratio (TTM),46.63 
411,ADBE,EPS (TTM),10.45 
412,ADBE,Earnings Date,"Jun 13, 2024"
413,ADBE,Forward Dividend & Yield,--
414,ADBE,Ex-Dividend Date,"Mar 24, 2005"
415,ADBE,1y Target Est,619.28 
416,AMD,Previous Close,165.52 
417,AMD,Open,170.20 
418,AMD,Bid,167.41 x 100
419,AMD,Ask,167.65 x 100
420,AMD,Day's Range,167.03 - 173.14 
421,AMD,52 Week Range,93.12 - 227.30 
422,AMD,Volume,"16,260,010 "
423,AMD,Avg. Volume,"60,310,298 "
424,AMD,Market Cap (intraday),270.797B 
425,AMD,Beta (5Y Monthly),1.66
426,AMD,PE Ratio (TTM),239.33 
427,AMD,EPS (TTM),0.70 
428,AMD,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
429,AMD,Forward Dividend & Yield,--
430,AMD,Ex-Dividend Date,"Apr 27, 1995"
431,AMD,1y Target Est,187.00 
432,AES,Previous Close,20.93 
433,AES,Open,20.93 
434,AES,Bid,20.72 x 1000
435,AES,Ask,20.72 x 1400
436,AES,Day's Range,20.47 - 20.90 
437,AES,52 Week Range,11.43 - 22.60 
438,AES,Volume,"1,899,179 "
439,AES,Avg. Volume,"9,809,972 "
440,AES,Market Cap (intraday),14.729B 
441,AES,Beta (5Y Monthly),1.07
442,AES,PE Ratio (TTM),28.39 
443,AES,EPS (TTM),0.73 
444,AES,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
445,AES,Forward Dividend & Yield,0.68 (3.23%)
446,AES,Ex-Dividend Date,"Apr 30, 2024"
447,AES,1y Target Est,22.91 
448,AFL,Previous Close,87.66 
449,AFL,Open,87.50 
450,AFL,Bid,87.78 x 800
451,AFL,Ask,87.77 x 1100
452,AFL,Day's Range,87.05 - 87.86 
453,AFL,52 Week Range,64.10 - 88.59 
454,AFL,Volume,"241,210 "
455,AFL,Avg. Volume,"2,222,625 "
456,AFL,Market Cap (intraday),49.844B 
457,AFL,Beta (5Y Monthly),0.91
458,AFL,PE Ratio (TTM),9.65 
459,AFL,EPS (TTM),9.09 
460,AFL,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
461,AFL,Forward Dividend & Yield,2.00 (2.28%)
462,AFL,Ex-Dividend Date,"May 21, 2024"
463,AFL,1y Target Est,85.25 
464,A,Previous Close,153.67 
465,A,Open,153.58 
466,A,Bid,149.95 x 800
467,A,Ask,--
468,A,Day's Range,152.64 - 154.49 
469,A,52 Week Range,96.80 - 155.35 
470,A,Volume,"1,231,260 "
471,A,Avg. Volume,"1,557,940 "
472,A,Market Cap (intraday),44.799B 
473,A,Beta (5Y Monthly),1.13
474,A,PE Ratio (TTM),36.66 
475,A,EPS (TTM),4.17 
476,A,Earnings Date,"May 29, 2024"
477,A,Forward Dividend & Yield,0.94 (0.62%)
478,A,Ex-Dividend Date,"Apr 1, 2024"
479,A,1y Target Est,150.18 
480,APD,Previous Close,264.66 
481,APD,Open,263.23 
482,APD,Bid,262.92 x 800
483,APD,Ask,266.24 x 1000
484,APD,Day's Range,261.27 - 264.70 
485,APD,52 Week Range,212.24 - 307.71 
486,APD,Volume,"1,053,833 "
487,APD,Avg. Volume,"1,592,909 "
488,APD,Market Cap (intraday),58.833B 
489,APD,Beta (5Y Monthly),0.81
490,APD,PE Ratio (TTM),23.93 
491,APD,EPS (TTM),11.06 
492,APD,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
493,APD,Forward Dividend & Yield,7.08 (2.68%)
494,APD,Ex-Dividend Date,"Jul 1, 2024"
495,APD,1y Target Est,267.85 
496,ABNB,Previous Close,142.71 
497,ABNB,Open,142.58 
498,ABNB,Bid,143.18 x 300
499,ABNB,Ask,143.49 x 200
500,ABNB,Day's Range,142.15 - 143.43 
501,ABNB,52 Week Range,103.74 - 170.10 
502,ABNB,Volume,"1,363,901 "
503,ABNB,Avg. Volume,"4,193,491 "
504,ABNB,Market Cap (intraday),91.03B 
505,ABNB,Beta (5Y Monthly),1.25
506,ABNB,PE Ratio (TTM),19.22 
507,ABNB,EPS (TTM),7.46 
508,ABNB,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
509,ABNB,Forward Dividend & Yield,--
510,ABNB,Ex-Dividend Date,--
511,ABNB,1y Target Est,152.41 
512,AKAM,Previous Close,94.90 
513,AKAM,Open,94.53 
514,AKAM,Bid,94.46 x 400
515,AKAM,Ask,94.52 x 400
516,AKAM,Day's Range,94.29 - 95.33 
517,AKAM,52 Week Range,86.31 - 129.17 
518,AKAM,Volume,"1,474,996 "
519,AKAM,Avg. Volume,"1,715,846 "
520,AKAM,Market Cap (intraday),14.394B 
521,AKAM,Beta (5Y Monthly),0.72
522,AKAM,PE Ratio (TTM),23.57 
523,AKAM,EPS (TTM),4.01 
524,AKAM,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
525,AKAM,Forward Dividend & Yield,--
526,AKAM,Ex-Dividend Date,--
527,AKAM,1y Target Est,115.19 
528,ALB,Previous Close,126.48 
529,ALB,Open,126.76 
530,ALB,Bid,124.91 x 900
531,ALB,Ask,125.07 x 1100
532,ALB,Day's Range,124.12 - 126.52 
533,ALB,52 Week Range,106.69 - 247.44 
534,ALB,Volume,"618,408 "
535,ALB,Avg. Volume,"3,190,458 "
536,ALB,Market Cap (intraday),14.713B 
537,ALB,Beta (5Y Monthly),1.65
538,ALB,PE Ratio (TTM),45.36 
539,ALB,EPS (TTM),2.76 
540,ALB,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
541,ALB,Forward Dividend & Yield,1.60 (1.27%)
542,ALB,Ex-Dividend Date,"Jun 14, 2024"
543,ALB,1y Target Est,150.34 
544,ARE,Previous Close,123.71 
545,ARE,Open,123.04 
546,ARE,Bid,123.29 x 800
547,ARE,Ask,123.82 x 800
548,ARE,Day's Range,122.84 - 124.26 
549,ARE,52 Week Range,90.73 - 135.45 
550,ARE,Volume,"481,243 "
551,ARE,Avg. Volume,"848,874 "
552,ARE,Market Cap (intraday),21.596B 
553,ARE,Beta (5Y Monthly),1.08
554,ARE,PE Ratio (TTM),116.50 
555,ARE,EPS (TTM),1.06 
556,ARE,Earnings Date,"Jul 22, 2024"
557,ARE,Forward Dividend & Yield,5.08 (4.11%)
558,ARE,Ex-Dividend Date,"Mar 27, 2024"
559,ARE,1y Target Est,143.58 
560,ALGN,Previous Close,261.12 
561,ALGN,Open,261.53 
562,ALGN,Bid,257.49 x 200
563,ALGN,Ask,260.07 x 200
564,ALGN,Day's Range,258.02 - 262.19 
565,ALGN,52 Week Range,176.34 - 413.20 
566,ALGN,Volume,"17,959 "
567,ALGN,Avg. Volume,"590,630 "
568,ALGN,Market Cap (intraday),19.482B 
569,ALGN,Beta (5Y Monthly),1.66
570,ALGN,PE Ratio (TTM),42.70 
571,ALGN,EPS (TTM),6.06 
572,ALGN,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
573,ALGN,Forward Dividend & Yield,--
574,ALGN,Ex-Dividend Date,--
575,ALGN,1y Target Est,338.96 
576,ALLE,Previous Close,123.07 
577,ALLE,Open,123.41 
578,ALLE,Bid,121.36 x 800
579,ALLE,Ask,121.59 x 800
580,ALLE,Day's Range,120.99 - 123.03 
581,ALLE,52 Week Range,95.94 - 136.91 
582,ALLE,Volume,"80,783 "
583,ALLE,Avg. Volume,"661,137 "
584,ALLE,Market Cap (intraday),10.624B 
585,ALLE,Beta (5Y Monthly),1.15
586,ALLE,PE Ratio (TTM),19.82 
587,ALLE,EPS (TTM),6.13 
588,ALLE,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
589,ALLE,Forward Dividend & Yield,1.92 (1.56%)
590,ALLE,Ex-Dividend Date,"Jun 13, 2024"
591,ALLE,1y Target Est,135.49 
592,LNT,Previous Close,51.17 
593,LNT,Open,50.87 
594,LNT,Bid,50.38 x 300
595,LNT,Ask,50.48 x 300
596,LNT,Day's Range,50.09 - 50.93 
597,LNT,52 Week Range,45.15 - 56.26 
598,LNT,Volume,"368,014 "
599,LNT,Avg. Volume,"1,676,275 "
600,LNT,Market Cap (intraday),12.928B 
601,LNT,Beta (5Y Monthly),0.54
602,LNT,PE Ratio (TTM),18.34 
603,LNT,EPS (TTM),2.75 
604,LNT,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
605,LNT,Forward Dividend & Yield,1.92 (3.75%)
606,LNT,Ex-Dividend Date,"Apr 29, 2024"
607,LNT,1y Target Est,53.01 
608,ALL,Previous Close,166.17 
609,ALL,Open,165.00 
610,ALL,Bid,165.13 x 800
611,ALL,Ask,165.22 x 1000
612,ALL,Day's Range,163.64 - 165.84 
613,ALL,52 Week Range,100.57 - 177.37 
614,ALL,Volume,"302,599 "
615,ALL,Avg. Volume,"1,627,967 "
616,ALL,Market Cap (intraday),43.579B 
617,ALL,Beta (5Y Monthly),0.51
618,ALL,PE Ratio (TTM),36.13 
619,ALL,EPS (TTM),4.57 
620,ALL,Earnings Date,"Jul 31, 2024"
621,ALL,Forward Dividend & Yield,3.68 (2.21%)
622,ALL,Ex-Dividend Date,"May 31, 2024"
623,ALL,1y Target Est,189.63 
624,GOOGL,Previous Close,177.85 
625,GOOGL,Open,176.64 
